,AAA10Y,ASEANTOT,BAA10Y,BUSAPPWNSAUS,BUSAPPWNSAUSYY,CBUSAPPWNSAUS,CBUSAPPWNSAUSYY,CUUR0000SA0R,DEXCHUS,DEXUSEU,DEXUSUK,DFII10,DFII20,DFII30,DFII5,DFII7,DLTIIT,DPCREDIT,DPRIME,EECTOT,EFFR,FRGSHPUSM649NCIS,GVIPT50002S,GVIPT50030S,GVIPT51000S,GVIPT51100S,GVIPT51110S,GVIPT51120S,GVIPT51200S,GVIPT52000S,GVIPT52100S,GVIPT521A3S,GVIPT52300S,GVIPT54000S,GVIPT54100S,GVIPT54200S,GVIPT54220S,INFECTDISEMVTRACKD,IOER,IORR,MEDCPIM158SFRBCLE,MORTGAGE15US,MORTGAGE30US,PCUADLVWRADLVWR,PCUAINFOAINFO,PCUAMUMAMUM,PCUARETTRARETTR,PCUASHCASHC,PCUASTDSVASTDSV,PCUATRADEATRADE,PCUATRANSATRANS,PCUATRNWRATRNWR,PCUATTDSVATTDSV,PCUAWHLTRAWHLTR,PCUOMFGOMFG,PCUOMINOMIN,SFTPAGRM158SFRBSF,SP500,T10YIE,TEDRATE,TLAACBW027NBOG,TLBACBW027NBOG,TSIFRGHT,UNRATE,WLEMUINDXD
2012/2/13,0.420091707,0.058070735,0.882745088,1.20921936,-0.19055178,1.165379684,-0.149326634,0.071173381,-0.207572298,0.349361002,0.386948094,-0.313479866,0.305555185,-0.025870975,0.066145407,0.204630099,0.05772114,-0.054597551,-0.056908205,0.001159839,-0.064933392,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,2.568906298,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,0.845604856,0.341137019,-1.285410395,-0.081097812,-0.073021901,-0.057029826,0.086018303,-0.270298967
2012/2/14,-0.376115331,0.058070735,-0.368950781,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,0.219753383,-0.870059385,-1.016104604,0.657582383,-0.368188813,-1.744956258,-0.004717671,-0.006038506,-0.284265254,-0.054597551,-0.056908205,0.001159839,-0.064933392,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,-0.179228573,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,-0.189404615,-0.682115561,-0.477350466,-0.081097812,-0.073021901,-0.057029826,0.086018303,-0.295896909
2012/2/15,0.819262527,0.058070735,0.46332455,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,0.016226047,-0.874202482,0.236783236,-0.168741591,-0.055909106,0.601731588,-0.016290338,-0.051722671,0.123868451,-0.054597551,-0.056908205,0.001159839,-0.064933392,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,-0.942117749,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,-0.783658363,-0.000979199,0.439584906,1.651523458,1.505342583,-0.057029826,0.086018303,-0.386703181
2012/2/16,0.020920886,0.058070735,-0.784435168,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,0.148455522,0.337658338,1.004814013,-0.293439182,0.194072886,3.623879318,-0.028391981,-0.009911432,0.225949445,-0.054597551,-0.056908205,0.001159839,-0.726592155,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,0.098185673,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,1.410697945,1.373734372,-0.024836906,-0.081097812,-0.073021901,-0.057029826,0.086018303,-0.278289178
2012/2/17,-0.768927759,0.058070735,0.046533607,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,-0.309192021,0.565581724,0.223746921,-0.183215418,-0.08344688,0.487622031,-0.005361134,-0.03564653,0.153693606,-0.054597551,-0.056908205,0.001159839,-1.508552511,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,0.098185673,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,0.250364213,0.336534559,0.427676654,-0.081097812,-0.073021901,-0.057029826,0.086018303,0.187008418
2012/2/20,0.020920886,0.058070735,0.046533607,-0.101623783,0.166445098,-0.018069153,0.072213773,0.071173381,-0.014290235,0.008611361,0.015338548,-0.05295097,-0.020928691,-0.025870975,0.006650169,0.03720917,0.00770732,-0.054597551,-0.056908205,0.001159839,-0.064933392,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,0.098185673,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,-0.063764065,-0.000979199,-0.024836906,-0.081097812,-0.073021901,-0.057029826,0.086018303,0.63101544
2012/2/21,-0.378249934,0.058070735,-0.789677874,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,-0.268632965,1.517938255,-0.18126753,-0.18887909,-0.020928691,0.224375616,0.018775865,0.011748845,0.052719758,-0.054597551,-0.056908205,0.001159839,0.817278292,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,0.098185673,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,0.032513141,1.007041801,0.416363815,-0.081097812,-0.073021901,-0.057029826,0.086018303,-0.331830774
2012/2/22,0.020920886,0.058070735,0.046533607,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,-0.014290235,-0.047888897,-1.36238514,0.657582383,-0.151522241,-1.014345013,0.066706683,0.16659771,-0.167950977,-0.054597551,-0.056908205,0.001159839,-1.652914422,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,0.098185673,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,-0.510443794,0.33058718,-0.455276634,-2.357436423,-2.659750278,-0.057029826,0.086018303,-0.394082305
2012/2/23,0.020920886,0.058070735,-0.374226773,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,0.189264744,0.813983075,0.28364256,0.294420891,-0.092595883,-0.285995722,0.064001434,0.132878272,-0.089616871,-0.054597551,-0.056908205,0.001159839,-0.064933392,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,-0.942117749,-0.048228836,-0.048228836,-0.034885123,1.043242327,2.480619876,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,0.507538117,0.329132941,-0.024836906,-0.081097812,-0.073021901,-0.057029826,0.086018303,-0.272452529
2012/2/24,-0.781736115,0.058070735,-0.797667155,-0.04388477,0.011303535,-0.043274083,0.015288169,0.071173381,-0.054988303,2.189276981,1.983901653,-0.157162529,-0.020928691,-0.025870975,-0.015301523,-0.007891978,0.00770732,-0.054597551,-0.056908205,0.001159839,0.927554752,-0.010017047,-0.021215512,-0.030930996,-0.030181672,-0.027913233,-0.025647061,-0.045993021,-0.020783077,0.006190223,-0.003306682,0.003315861,0.049290353,-0.068080966,-0.050067817,-0.050067917,-0.02617616,0.098185673,-0.048228836,-0.048228836,-0.034885123,-0.010529398,-0.006452638,-0.054885526,0.005395804,-0.001470801,-0.030098239,-0.106824899,-0.087548641,-0.050677022,-0.014053142,-0.026144174,-0.099644413,-0.051942871,0.001081964,0.017887916,-0.026563788,0.159861452,-0.658320405,-0.466037627,-0.081097812,-0.073021901,-0.057029826,0.086018303,0.180735719
