,AAA10Y,BAA10Y,DEXCHUS,DEXUSEU,DEXUSUK,DFII10,DFII20,DFII30,DFII5,DFII7,DLTIIT,SP500,T10YIE,TEDRATE,WLEMUINDXD
2012/2/13,0.420091707,0.882745088,-0.207572298,0.349361002,0.386948094,-0.313479866,0.305555185,-0.025870975,0.066145407,0.204630099,0.05772114,0.845604856,0.341137019,-1.285410395,-0.270298967
2012/2/14,-0.376115331,-0.368950781,0.219753383,-0.870059385,-1.016104604,0.657582383,-0.368188813,-1.744956258,-0.004717671,-0.006038506,-0.284265254,-0.189404615,-0.682115561,-0.477350466,-0.295896909
2012/2/15,0.819262527,0.46332455,0.016226047,-0.874202482,0.236783236,-0.168741591,-0.055909106,0.601731588,-0.016290338,-0.051722671,0.123868451,-0.783658363,-0.000979199,0.439584906,-0.386703181
2012/2/16,0.020920886,-0.784435168,0.148455522,0.337658338,1.004814013,-0.293439182,0.194072886,3.623879318,-0.028391981,-0.009911432,0.225949445,1.410697945,1.373734372,-0.024836906,-0.278289178
2012/2/17,-0.768927759,0.046533607,-0.309192021,0.565581724,0.223746921,-0.183215418,-0.08344688,0.487622031,-0.005361134,-0.03564653,0.153693606,0.250364213,0.336534559,0.427676654,0.187008418
2012/2/20,0.020920886,0.046533607,-0.014290235,0.008611361,0.015338548,-0.05295097,-0.020928691,-0.025870975,0.006650169,0.03720917,0.00770732,-0.063764065,-0.000979199,-0.024836906,0.63101544
2012/2/21,-0.378249934,-0.789677874,-0.268632965,1.517938255,-0.18126753,-0.18887909,-0.020928691,0.224375616,0.018775865,0.011748845,0.052719758,0.032513141,1.007041801,0.416363815,-0.331830774
2012/2/22,0.020920886,0.046533607,-0.014290235,-0.047888897,-1.36238514,0.657582383,-0.151522241,-1.014345013,0.066706683,0.16659771,-0.167950977,-0.510443794,0.33058718,-0.455276634,-0.394082305
2012/2/23,0.020920886,-0.374226773,0.189264744,0.813983075,0.28364256,0.294420891,-0.092595883,-0.285995722,0.064001434,0.132878272,-0.089616871,0.507538117,0.329132941,-0.024836906,-0.272452529
2012/2/24,-0.781736115,-0.797667155,-0.054988303,2.189276981,1.983901653,-0.157162529,-0.020928691,-0.025870975,-0.015301523,-0.007891978,0.00770732,0.159861452,-0.658320405,-0.466037627,0.180735719
2012/2/27,1.238064699,0.046533607,0.352015638,-0.728450932,-0.261243489,0.270464211,-0.13394234,-1.343836359,0.051323786,0.130064475,-0.198063827,0.117383546,-0.995678336,-0.929864026,-0.036211834
