,AAA10Y,ASEANTOT,BAA10Y,BUSAPPWNSAUS,BUSAPPWNSAUSYY,CBUSAPPWNSAUS,CBUSAPPWNSAUSYY,CUUR0000SA0R,DEXCHUS,DEXUSEU,DEXUSUK,DFII10,DFII20,DFII30,DFII5,DFII7,DLTIIT,DPCREDIT,DPRIME,EECTOT,EFFR,FRGSHPUSM649NCIS,GVIPT50002S,GVIPT50030S,GVIPT51000S,GVIPT51100S,GVIPT51110S,GVIPT51120S,GVIPT51200S,GVIPT52000S,GVIPT52100S,GVIPT521A3S,GVIPT52300S,GVIPT54000S,GVIPT54100S,GVIPT54200S,GVIPT54220S,INFECTDISEMVTRACKD,IOER,IORR,MEDCPIM158SFRBCLE,MORTGAGE15US,MORTGAGE30US,PCUADLVWRADLVWR,PCUAINFOAINFO,PCUAMUMAMUM,PCUARETTRARETTR,PCUASHCASHC,PCUASTDSVASTDSV,PCUATRADEATRADE,PCUATRANSATRANS,PCUATRNWRATRNWR,PCUATTDSVATTDSV,PCUAWHLTRAWHLTR,PCUOMFGOMFG,PCUOMINOMIN,SFTPAGRM158SFRBSF,SP500,T10YIE,TEDRATE,TLAACBW027NBOG,TLBACBW027NBOG,TSIFRGHT,UNRATE,WLEMUINDXD
2011/2/14,1.59,103.4,2.53,59170.0,5.04,11600.0,-9.16,45.2,6.5965,1.3474,1.6023,1.34,1.91,2.18,0.51,1.06,1.98,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.59,0.25,0.25,2.81696886,4.29,5.05,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1332.32,2.28,0.18,11883.648,10536.178,109.5,9.0,30.44
2011/2/15,1.65,103.4,2.53,59170.0,5.04,11600.0,-9.16,45.2,6.5884,1.3494,1.6128,1.33,1.91,2.17,0.44,1.0,1.97,0.75,3.25,131.2,0.16,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.45,0.25,0.25,2.81696886,4.29,5.05,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1328.01,2.28,0.18,11883.648,10536.178,109.5,9.0,23.19
2011/2/16,1.65,103.4,2.53,59170.0,5.04,11600.0,-9.16,45.2,6.5884,1.3547,1.6063,1.37,1.95,2.21,0.43,1.01,1.99,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.34,0.25,0.25,2.81696886,4.29,5.05,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1336.32,2.25,0.19,11859.328,10507.025,109.5,9.0,45.74
2011/2/17,1.68,103.4,2.56,59170.0,5.04,11600.0,-9.16,45.2,6.585,1.3612,1.6172,1.31,1.9,2.19,0.33,0.92,1.95,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.87,0.25,0.25,2.81696886,4.27,5.0,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1340.43,2.27,0.22,11859.328,10507.025,109.5,9.0,14.88
2011/2/18,1.7,103.4,2.58,59170.0,5.04,11600.0,-9.16,45.2,6.5731,1.3673,1.6245,1.25,1.86,2.16,0.26,0.87,1.91,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.0,0.25,0.25,2.81696886,4.27,5.0,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1343.01,2.34,0.21,11859.328,10507.025,109.5,9.0,12.48
2011/2/21,1.7,103.4,2.58,57020.0,14.34,11510.0,0.44,45.2,6.5731,1.3673,1.6245,1.25,1.86,2.16,0.26,0.87,1.91,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.61,0.25,0.25,2.81696886,4.27,5.0,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1343.01,2.34,0.21,11859.328,10507.025,109.5,9.0,31.41
2011/2/22,1.74,103.4,2.62,57020.0,14.34,11510.0,0.44,45.2,6.5795,1.3661,1.6129,1.12,1.76,2.08,0.07,0.69,1.81,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.0,0.25,0.25,2.81696886,4.27,5.0,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1315.44,2.34,0.19,11859.328,10507.025,109.5,9.0,40.86
2011/2/23,1.71,103.4,2.6,57020.0,14.34,11510.0,0.44,45.2,6.5741,1.3758,1.6221,1.1,1.75,2.06,0.01,0.65,1.79,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.0,0.25,0.25,2.81696886,4.27,5.0,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1307.4,2.39,0.19,11967.252,10605.096,109.5,9.0,34.44
2011/2/24,1.68,103.4,2.59,57020.0,14.34,11510.0,0.44,45.2,6.572,1.3794,1.6106,1.05,1.69,2.0,-0.01,0.62,1.73,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.0,0.25,0.25,2.81696886,4.22,4.95,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1306.1,2.41,0.18,11967.252,10605.096,109.5,9.0,20.21
2011/2/25,1.7,103.4,2.6,57020.0,14.34,11510.0,0.44,45.2,6.5749,1.3757,1.6078,1.02,1.66,1.97,-0.01,0.61,1.7,0.75,3.25,131.2,0.15,1.036,2973.446,3902.9074,2235.943,418.5891,255.5683,163.0023,1817.4808,737.9322,582.2668,710.0883,127.8279,929.6313,256.7419,672.9938,260.5444,0.0,0.25,0.25,2.81696886,4.22,4.95,123.6,101.9,116.2,111.3,112.2,105.9,114.1,114.5,116.8,106.8,118.2,183.3,232.4,-0.005527723000000001,1319.88,2.4,0.18,11967.252,10605.096,109.5,9.0,12.45
