,AAA10Y,BAA10Y,DEXCHUS,DEXUSEU,DEXUSUK,DFII10,DFII20,DFII30,DFII5,DFII7,DLTIIT,SP500,T10YIE,TEDRATE,WLEMUINDXD
2012/2/10,-0.012195122,-0.007042254,0.017288802,-0.037645448,-0.024193548,-0.1,-0.138888889,-0.134615385,-0.032258065,-0.028985507,-0.107692308,-0.03683919,-0.009708738,0,0.486292428
2012/2/13,0.012345679,0.014184397,-0.007338741,0.008534851,0.008815427,0.031746032,0.161290323,0,-0.083333333,-0.104477612,0.017241379,0.03750873,0.009803922,-0.09375,-0.201581028
2012/2/14,-0.012195122,-0.006993007,0.008949416,-0.021861777,-0.024303659,-0.076923077,-0.180555556,-0.133333333,0.018181818,0.033333333,-0.101694915,-0.005028906,-0.019417476,-0.034482759,-0.332783278
2012/2/15,0.024691358,0.007042254,0.001156961,-0.022350397,0.00531766,0.016666667,-0.016949153,0.051282051,0.035714286,0.064516129,0.037735849,-0.02893302,0,0.035714286,-0.846661171
2012/2/16,0,-0.013986014,0.006163328,0.008480826,0.023663697,0.032786885,0.103448276,0.292682927,0.051724138,0.03030303,0.072727273,0.060696721,0.03960396,0,-0.704301075
2012/2/17,-0.024096386,0,-0.011102603,0.014259598,0.004895295,0.015873016,-0.03125,0.037735849,0.016393443,0.044117647,0.050847458,0.012325644,0.00952381,0.034482759,15.2
2012/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.987654321
2012/2/21,-0.012345679,-0.014184397,-0.009678668,0.038211968,-0.004600812,0.015625,0,0.018181818,-0.016129032,0.014084507,0.016129032,0.003740458,0.028301887,0.033333333,-0.435051546
2012/2/22,0,0,0,-0.001388889,-0.032354541,-0.076923077,-0.064516129,-0.071428571,-0.081967213,-0.069444444,-0.063492063,-0.017301696,0.009174312,-0.032258065,-0.735567352
2012/2/23,0,-0.007194245,0.007818608,0.019819193,0.006462489,-0.05,-0.034482759,-0.019230769,-0.089285714,-0.059701493,-0.033898305,0.022443215,0.009090909,0,-0.279799247
2012/2/24,-0.025,-0.014492754,-0.00155159,0.052846914,0.047180346,0.01754386,0,0,0.039215686,0.031746032,0,0.008628846,-0.018018018,-0.033333333,2.825783972
2012/2/27,0.038461538,0,0.013986014,-0.017163212,-0.006398294,-0.051724138,-0.053571429,-0.098039216,-0.075471698,-0.061538462,-0.070175439,0.006941578,-0.027522936,-0.068965517,0.87568306
2012/2/28,0,0,-0.008812261,0.01383855,0.011269117,0.018181818,0.018867925,0.043478261,0.06122449,0.032786885,0.018867925,0.01710389,0.009433962,0.074074074,0.718378247
2012/2/29,-0.049382716,-0.014705882,-0.020873599,-0.030224244,0.016980631,0.053571429,0.037037037,0.020833333,0.057692308,0.063492063,0.111111111,-0.023813885,0.009345794,0.034482759,0.123905058
2012/3/1,0.025974026,0,0.02605606,-0.013069705,0.000521785,0.084745763,0.125,0.142857143,0.036363636,0.029850746,0.1,0.031563145,0,0,-0.929226901
2012/3/2,0,-0.007462687,-0.007310504,-0.040067912,-0.026336375,-0.015625,0,0.017857143,-0.01754386,0,0,-0.016226443,-0.027777778,0.033333333,-0.664298401
2012/3/5,0.025316456,0.015037594,0.03255814,0.008489565,0.004820568,0.063492063,0.095238095,0.105263158,0.071428571,0.057971014,0.090909091,-0.019600592,-0.028571429,-0.064516129,13.82010582
2012/3/6,0,-0.007407407,0.006006006,-0.039284462,-0.039978678,-0.014925373,-0.014492754,-0.063492063,-0.033333333,-0.04109589,-0.055555556,-0.079102226,-0.029411765,0,0.026062121
2012/3/7,0.024691358,0.007462687,0.005597015,0.012778386,0.007218212,-0.015151515,0.014705882,0,-0.068965517,-0.042857143,0,0.037971573,0.03030303,0,-0.706680585
2012/3/8,0,0,0.023005566,0.038572459,0.020948181,0.015384615,0.014492754,0.033898305,0.018518519,0,0.029411765,0.052407261,0.039215686,0,8.135231317
2012/3/9,0.012048193,0,-0.018135655,-0.051371052,-0.039146868,-0.045454545,-0.014285714,-0.049180328,-0.090909091,-0.074626866,-0.042857143,0.01859907,0.037735849,-0.034482759,-0.793013894
2012/3/12,-0.035714286,-0.014814815,0.055042482,0.012074643,-0.017420624,0,-0.057971014,-0.034482759,0.06,0.048387097,-0.014925373,0.000809895,0,0,0.12923463
2012/3/13,-0.037037037,-0.007518797,0.00280112,-0.011569053,0.034601087,0.063492063,0.092307692,0.071428571,0,0,0.060606061,0.091444126,0.054545455,0.035714286,-0.788333333
2012/3/14,0.025641026,-0.007575758,0.017108939,-0.030724214,-0.01381979,0.194029851,0.14084507,0.183333333,0.226415094,0.215384615,0.157142857,-0.005628202,0.017241379,-0.034482759,-0.511811024
2012/3/15,-0.0375,0,-0.011328527,0.016981132,-0.004764574,-0.0125,-0.049382716,-0.070422535,0,-0.012658228,-0.049382716,0.02819861,0.008474576,0.035714286,5.26344086
2012/3/16,-0.025974026,-0.022900763,-0.020833333,0.037476809,0.049563503,-0.012658228,-0.025974026,-0.03030303,0.046153846,0.038461538,-0.025974026,0.005175199,0.025210084,-0.034482759,2.793991416
2012/3/19,-0.013333333,-0.0078125,-0.010992908,0.025393419,0.013147303,0.076923077,0.066666667,0.078125,0.088235294,0.074074074,0.08,0.018298682,0.016393443,-0.035714286,-0.585972851
2012/3/20,-0.013513514,-0.007874016,0.004302617,-0.006975933,-0.009798729,-0.011904762,0,0,0,-0.022988506,-0.012345679,-0.013622311,0,0,-0.35136612
2012/3/21,-0.04109589,-0.015873016,0.008211353,-0.011239902,-0.002407061,-0.048192771,-0.05,-0.043478261,-0.040540541,-0.035294118,-0.0375,-0.008586634,-0.024193548,0.037037037,-0.836562763
2012/3/22,0,0.008064516,-0.083569405,0.001420959,-0.010991957,0,0,0.015151515,0.042253521,0.012195122,0.012987013,-0.033293815,-0.016528926,0.035714286,2.072164948
2012/3/23,-0.014285714,0,0.011978362,0.024476765,0.015451342,-0.037974684,-0.065789474,-0.074626866,-0.013513514,-0.012048193,-0.064102564,0.014750468,-0.008403361,0,0.543624161
2012/3/26,0.014492754,0,0.045055365,0.022506925,0.020021356,0.039473684,0.084507042,0.112903226,0.01369863,0.036585366,0.082191781,0.065126897,-0.016949153,-0.034482759,-0.269565217
2012/3/27,0.042857143,0.024,-0.028498356,0.002709109,0.008636483,-0.063291139,-0.051948052,-0.057971014,-0.054054054,-0.047058824,-0.050632911,-0.012575643,-0.00862069,0,0.837797619
2012/3/28,0,-0.0078125,-0.006393381,-0.012158055,-0.03035807,0.027027027,0.01369863,0,-0.014285714,-0.012345679,0,-0.022279677,-0.008695652,0,-0.851821862
2012/3/29,0,0,0.004920515,-0.011965812,0.014985282,-0.026315789,-0.027027027,-0.030769231,0,0,-0.026666667,-0.007378146,-0.00877193,0.071428571,2.300546448
2012/3/30,0.04109589,0.031496063,-0.030885122,0.023875433,0.019509623,0.054054054,0.083333333,0.095238095,0,0,0.082191781,0.017069561,0.008849558,0,1.629139073
2012/4/2,0,0.007633588,0.001554606,-0.003041568,0.009568141,-0.064102564,-0.064102564,-0.057971014,-0.043478261,-0.025,-0.050632911,0.034180572,0.035087719,-0.033333333,-0.56675063
2012/4/3,-0.013157895,-0.015151515,-0.001552192,0.004067797,-0.014344262,0.109589041,0.082191781,0.076923077,0.106060606,0.08974359,0.066666667,-0.017698008,0,0,9.492732558
2012/4/4,0.026666667,0.015384615,0,-0.071235652,-0.022609148,0.012345679,0,0,0.04109589,0.023529412,-0.0125,-0.045901639,-0.050847458,0,-0.973957612
2012/4/5,0.012987013,0.007575758,0.057520404,-0.022537259,-0.015155544,-0.036585366,-0.012658228,-0.028571429,-0.039473684,-0.034482759,-0.012658228,-0.002935976,-0.026785714,0,-0.659574468
2012/4/6,0.051282051,0.030075188,-0.026093348,0.009297136,0.014848812,-0.101265823,-0.128205128,-0.102941176,-0.02739726,-0.05952381,-0.102564103,0,-0.036697248,0,92.53125
2012/4/9,-0.024390244,-0.01459854,0.018113208,-0.00073692,0.000532056,-0.014084507,-0.014705882,-0.032786885,0.028169014,0.025316456,-0.028571429,-0.053137025,0,0,-0.678416305
2012/4/10,0.0125,0.022222222,0.001853225,-0.0070059,-0.011433129,-0.1,-0.074626866,-0.101694915,-0.109589041,-0.12345679,-0.088235294,-0.083436407,0.019047619,-0.034482759,10.2825974
2012/4/11,0.086419753,0.014492754,-0.01072882,0.013367991,0.015061861,-0.015873016,0.016129032,0.018867925,-0.061538462,-0.056338028,0.016129032,0.039019124,0.046728972,0,-0.931580644
2012/4/12,-0.022727273,-0.007142857,-0.002617801,0.024551118,0.01245363,0.048387097,0.031746032,0.074074074,0.081967213,0.089552239,0.047619048,0.069986641,0,0,-0.236204576
2012/4/13,0,0,-0.017622797,-0.031831187,-0.02303062,-0.046153846,-0.046153846,-0.086206897,-0.060606061,-0.054794521,-0.075757576,-0.060033294,-0.026785714,0,-0.808810573
2012/4/16,-0.011627907,-0.007194245,0.048854962,-0.00554119,0.003750335,-0.016129032,-0.032258065,-0.037735849,0.016129032,0,-0.016393443,-0.002545844,-0.009174312,0.035714286,1.815668203
2012/4/17,0.011764706,0,-0.049126638,0.020802377,0.017614091,0,-0.033333333,-0.019607843,0.015873016,0.014492754,-0.033333333,0.078456758,0.027777778,0,2.134206219
2012/4/18,0,0.007246377,0.004209721,-0.000363901,0.023341201,0,0,0,0.03125,0.028571429,0.017241379,-0.019344881,-0.027027027,0.034482759,3.323237598
2012/4/19,0.046511628,0,0.001143293,0.003640335,0.009738596,0.081967213,0.310344828,0.06,-0.090909091,-0.125,0.033898305,-0.028750306,-0.064814815,0,-0.189757217
2012/4/20,0.011111111,0.014388489,0.01941378,0.029017048,0.016497462,-0.045454545,-0.157894737,-0.037735849,-0.05,-0.047619048,-0.032786885,0.005797832,0.03960396,-0.033333333,-0.97242099
2012/4/23,0,-0.007092199,0.001493652,-0.029256257,-0.005243446,-0.031746032,0.09375,-0.058823529,-0.035087719,-0.05,-0.050847458,-0.041496599,-0.00952381,0,152.6810811
2012/4/24,-0.010989011,-0.007142857,-0.004101417,0.02832244,0.008283133,0.016393443,-0.042857143,0.041666667,-0.054545455,-0.01754386,0.035714286,0.018788988,0.028846154,-0.034482759,-0.86834793
2012/4/25,0.022222222,0.014388489,-0.012729315,0.001059322,0.002738362,0.016129032,0.044776119,0.02,-0.019230769,0,0.017241379,0.068636797,0,0,-0.957787871
2012/4/26,0.02173913,0.014184397,0.005688282,0.007760141,0.010427011,-0.079365079,-0.1,-0.058823529,-0.098039216,-0.071428571,-0.084745763,0.031874014,0.018691589,0,24.91772152
2012/4/27,0,0,0.014705882,0.00560028,0.012530713,-0.017241379,-0.031746032,0.020833333,-0.065217391,-0.057692308,0.037037037,0.01123857,-0.009174312,0,-0.456410256
2012/4/30,0.010638298,0.006993007,-0.112597547,-0.006613296,-0.003397234,0,0.06557377,0.040816327,0,0,0.035714286,-0.017919968,-0.009259259,-0.035714286,0.8131177
2012/5/1,0.021052632,0.013888889,0.12520938,-0.001051156,-0.000973947,0.035087719,0.046153846,0.058823529,0.046511628,0.040816327,0.034482759,0.026483193,0.009345794,0.037037037,0.114717542
2012/5/2,-0.030927835,-0.020547945,-0.007071083,-0.025254297,-0.006824275,0,0,-0.037037037,0,0,-0.05,-0.011448514,-0.018518519,0.035714286,-0.963325183
2012/5/3,0,-0.006993007,-0.006746627,-0.002518892,-0.00196319,0.016949153,0.132352941,0.038461538,0.066666667,0.019607843,0.01754386,-0.035436188,-0.009433962,-0.034482759,9.357575758
2012/5/4,0.010638298,0.007042254,0.002641509,-0.02020202,-0.009097615,-0.05,-0.181818182,-0.037037037,0.083333333,0.153846154,-0.034482759,-0.076862557,-0.019047619,0.071428571,0.291983616
2012/5/7,-0.021052632,-0.006993007,0.005645465,-0.014359352,0.010918114,0.052631579,0.158730159,-0.019230769,0,-0.066666667,0,0.001778634,-0.019417476,0,-0.21240942
2012/5/8,0,0.007042254,0.000748503,-0.013821442,-0.008100147,-0.016666667,0.04109589,-0.058823529,-0.057692308,-0.071428571,-0.053571429,-0.021675606,-0.02970297,-0.066666667,0.156411731
2012/5/9,0.021505376,0.020979021,0.007479432,-0.023106061,-0.007176441,0.016949153,0.052631579,0.083333333,0.020408163,0,0.037735849,-0.034557072,-0.020408163,0,0.358528095
2012/5/10,0,-0.006849315,0.016332591,0.001938736,0.00772682,0.033333333,0.0375,0.019230769,0,0.019230769,0.018181818,0.01335422,0,-0.035714286,-0.24011713
2012/5/11,0,0.006896552,-0.015704894,-0.008513932,-0.020034628,-0.048387097,-0.144578313,-0.018867925,0.02,0.056603774,-0.017857143,-0.017777091,-0.020833333,0,-0.56743738
2012/5/14,0,0,0.041929499,-0.035128806,0.00908632,-0.084745763,-0.028169014,-0.096153846,-0.039215686,-0.089285714,-0.109090909,-0.059175323,-0.010638298,0,7.26169265
2012/5/15,0,0.01369863,-0.012108262,-0.031553398,-0.022761381,-0.055555556,-0.101449275,-0.063829787,0,0,-0.06122449,-0.032159585,0.010752688,0.037037037,0.260816822
2012/5/16,-0.031578947,0.006756757,0.018385004,-0.016290727,-0.023547479,0.058823529,0.032258065,0.045454545,0.081632653,0.019607843,0.065217391,-0.025320831,-0.031914894,-0.035714286,-0.420568741
2012/5/17,-0.043478261,-0.013422819,0.007079646,-0.008917197,-0.028833552,-0.037037037,-0.046875,-0.173913043,0.018867925,0,-0.142857143,-0.08839828,-0.043956044,0,-0.334132841
2012/5/18,0.090909091,0.027210884,-0.000702988,0.005141388,-0.009446694,-0.076923077,-0.081967213,-0.052631579,0.055555556,-0.019230769,-0.047619048,-0.046880319,0.057471264,0.074074074,-0.356608479
2012/5/21,-0.03125,-0.013245033,0.011255716,0.020460358,0.000544959,-0.041666667,-0.142857143,-0.083333333,-0.01754386,0.058823529,-0.05,0.105974795,0.065217391,-0.034482759,-0.711024978
2012/5/22,0.053763441,0.060402685,-0.018782609,-0.014202172,-0.004084967,0.065217391,0.125,0.151515152,0.035714286,-0.018518519,0.105263158,0.002952574,0.010204082,0,2.076005961
2012/5/23,-0.051020408,-0.006329114,0.042538107,-0.070338983,-0.022969647,-0.06122449,-0.12962963,-0.105263158,0.051724138,0.018867925,-0.071428571,0.01025759,-0.03030303,0,0.380813953
2012/5/24,0.010752688,0.01910828,0.036042163,0.006381039,0.001959138,0.086956522,0.106382979,0.147058824,0.06557377,0.055555556,0.102564103,0.008286664,0,-0.035714286,-0.620350877
2012/5/25,0.021276596,0.00625,-0.003281917,-0.029438406,-0.01396648,-0.02,-0.076923077,0,0,0.01754386,0.023255814,-0.012914879,-0.010416667,0.037037037,-0.15064695
2012/5/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.023939064
2012/5/29,0,0.00621118,0.01284162,-0.013999067,-0.00509915,0.020408163,0.020833333,0.051282051,0.030769231,0.017241379,0.045454545,0.066791711,-0.021052632,0,0.279596977
2012/5/30,0.041666667,0.012345679,0.031209363,-0.039280644,-0.027904328,-0.16,-0.204081633,-0.195121951,-0.029850746,-0.06779661,-0.152173913,-0.081907457,-0.032258065,0.071428571,-0.560179978
